id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
45,2016-06-29 03:45:00,17,2,1300,6,1,42494.39,,20611.5,6761.5,12449.0,6761.5
46,2016-06-29 03:53:00,14,3,1350,6,1,25737.08,,14118.0,5964.0,11695.3,5964.0
47,2016-06-29 04:00:00,15,3,1600,3,1,117248.92,,29541.5,15158.0,49597.7,15158.0
48,2016-06-29 04:08:00,16,3,1600,7,1,28502.95,,13276.5,5362.5,13506.5,5362.5
49,2016-06-29 04:15:00,17,3,1300,6,1,54656.09,,22728.5,7941.5,12837.8,7941.5
50,2016-06-29 04:23:00,14,4,1200,6,1,57260.62,,20222.5,7520.5,17091.2,7520.5
51,2016-06-29 04:30:00,15,4,1400,3,1,80253.41,,20751.0,10611.0,38525.1,10611.0
52,2016-06-29 04:34:00,19,1,1000,7,3,13586.0,,7618.0,3029.0,18823.8,3029.0
53,2016-06-29 04:38:00,16,4,2200,7,1,37374.31,,8372.0,2545.0,7941.27,2545.0
54,2016-06-29 04:45:00,17,4,1400,6,1,40190.02,,32374.5,16248.5,16689.2,16248.5
55,2016-06-29 04:53:00,14,5,1350,6,1,39340.53,,16816.5,6751.5,18155.4,6751.5
56,2016-06-29 05:00:00,15,5,2400,3,1,64562.1,,29003.5,13863.0,45910.2,13863.0
57,2016-06-29 05:04:00,19,2,1000,7,3,4794.29,,6497.5,3437.0,16849.5,3437.0
58,2016-06-29 05:08:00,16,5,1000,7,1,15116.78,,10327.0,4688.0,11724.7,4688.0
59,2016-06-29 05:15:00,17,5,2200,6,1,50406.98,,36575.0,20396.0,26500.6,20396.0
60,2016-06-29 05:23:00,14,6,2200,6,1,45762.14,,24554.0,10256.0,24481.2,10256.0
61,2016-06-29 05:30:00,15,6,1000,3,1,98187.77,,30626.5,14690.0,55107.2,14690.0
62,2016-06-29 05:35:00,19,3,1000,7,3,30640.25,,9811.0,4257.5,19800.9,4257.5
63,2016-06-29 05:40:00,16,6,1200,7,1,20212.72,,13779.5,4878.0,11108.4,4878.0
64,2016-06-29 05:45:00,17,6,1400,6,1,53465.33,,44467.5,21739.0,27691.6,21739.0
65,2016-06-29 05:53:00,14,7,1050,6,1,22277.46,,23652.0,8680.0,19151.0,8680.0
66,2016-06-29 06:00:00,15,7,1700,3,1,119555.9,,36067.5,15935.0,58734.1,15935.0
67,2016-06-29 06:05:00,19,4,1650,7,3,24118.18,,9237.0,3728.0,20387.9,3728.0
68,2016-06-29 06:10:00,16,7,1600,7,1,13907.1,,11781.5,4596.5,8968.31,4596.5
69,2016-06-29 06:15:00,17,7,1600,6,1,40705.92,,43034.5,21445.5,28417.1,21445.5
70,2016-06-29 06:23:00,14,8,1600,6,1,86688.87,,27350.0,10761.5,24218.2,10761.5
71,2016-06-29 06:30:00,15,8,1800,3,1,86037.98,,47397.5,20391.5,74419.6,20391.5
72,2016-06-29 06:40:00,19,5,1650,7,3,33882.2,,24435.5,8201.0,33716.5,8201.0
73,2016-06-29 06:50:00,16,8,1400,7,1,21921.9,,31497.5,11311.0,33695.3,11311.0
74,2016-06-29 07:20:00,19,6,1400,7,3,52282.35,,33258.5,11565.5,44696.5,11565.5
75,2016-06-29 07:55:00,19,7,1400,7,3,21324.11,,28906.5,11340.5,38328.6,11340.5
76,2016-06-29 08:30:00,19,8,1650,7,3,27629.53,,36654.0,14006.0,58441.3,14006.0
77,2016-06-30 02:10:00,23,1,1350,7,1,21700.99,,10547.5,4674.5,6324.48,4674.5
78,2016-06-30 02:45:00,23,2,1100,7,1,20082.86,,15543.0,7858.5,9345.22,7858.5
79,2016-06-30 03:00:00,24,1,1100,3,3,26611.28,,20277.5,9831.0,35549.1,9831.0
80,2016-06-30 03:20:00,23,3,1100,7,1,76942.36,,17431.0,7671.0,11910.2,7671.0
81,2016-06-30 03:30:00,24,2,2200,3,3,40483.89,,13303.5,5824.0,23758.8,5824.0
82,2016-06-30 03:40:00,26,1,1300,5,1,17213.04,,9389.5,3093.5,8302.63,3093.5
83,2016-06-30 03:55:00,23,4,1200,7,1,39788.3,,31241.5,13513.0,21921.0,13513.0
84,2016-06-30 04:00:00,24,3,1400,3,3,22343.59,,15791.5,8906.5,25981.2,8906.5
85,2016-06-30 04:15:00,26,2,1200,5,1,21275.61,,15289.0,5132.0,15938.8,5132.0
86,2016-06-30 04:22:00,13,1,1300,5,1,13309.82,,7915.5,3160.5,15986.7,3160.5
87,2016-06-30 04:30:00,24,4,1600,3,3,39222.82,,17793.5,9008.5,34581.4,9008.5
88,2016-06-30 04:35:00,23,5,1600,7,1,25667.16,,28045.0,10298.5,14928.0,10298.5
89,2016-06-30 04:55:00,26,3,1200,5,1,39975.51,,18025.5,7585.0,22413.3,7585.0
90,2016-06-30 05:00:00,24,5,1600,3,3,37675.49,,17319.5,4613.5,26309.1,4613.5
91,2016-06-30 05:04:00,13,2,1300,5,1,7392.29,,6450.5,3040.0,14546.6,3040.0
92,2016-06-30 05:15:00,23,6,1350,7,1,38405.93,,42389.5,20367.5,25057.1,20367.5
93,2016-06-30 05:30:00,24,6,1100,3,3,94397.42,,27481.0,11130.0,44808.6,11130.0
94,2016-06-30 05:35:00,26,4,1000,5,1,31603.16,,12439.5,6660.5,12562.3,6660.5
95,2016-06-30 05:43:00,13,3,1600,5,1,8615.79,,10185.5,4618.5,19683.8,4618.5
96,2016-06-30 05:50:00,23,7,1100,7,1,27689.05,,36974.0,16653.1,19242.5,16653.1
97,2016-06-30 06:00:00,24,7,1100,3,3,56500.61,,29641.5,13081.0,52414.8,13081.0
98,2016-06-30 06:10:00,26,5,1000,5,1,41272.74,,20064.5,7340.0,20029.0,7340.0
99,2016-06-30 06:18:00,13,4,2200,5,1,17658.22,,11594.5,4319.0,20285.1,4319.0
100,2016-06-30 06:25:00,23,8,1350,7,1,39364.16,,44174.5,17968.1,24713.4,17968.1
101,2016-06-30 06:30:00,24,8,1600,3,3,21880.02,,28627.0,13735.5,54356.5,13735.5
102,2016-06-30 06:45:00,26,6,1609,5,1,20957.89,,21622.5,9641.0,24884.4,9641.0
103,2016-06-30 06:57:00,13,5,2200,5,1,12442.25,,19878.5,6703.5,27967.8,6703.5
104,2016-06-30 07:35:00,13,6,1100,5,1,14192.08,,21064.0,7939.5,35048.6,7939.5
105,2016-06-30 08:15:00,13,7,1100,5,1,10960.04,,18854.5,8475.5,30412.4,8475.5
106,2016-06-30 08:50:00,13,8,1300,5,1,16358.99,,21380.0,8372.0,46761.4,8372.0
107,2016-07-01 02:00:00,28,1,1400,6,2,12523.31,,11448.5,3617.0,8771.62,3617.0
108,2016-07-01 02:20:00,29,1,1000,8,1,24728.94,,11647.5,4843.0,6289.59,4843.0
109,2016-07-01 02:35:00,28,2,1600,6,2,14904.08,,14662.5,5212.5,8534.5,5212.5
110,2016-07-01 02:43:00,30,1,1200,7,1,23407.47,,8357.5,3142.5,7516.08,3142.5
111,2016-07-01 02:55:00,29,2,1280,8,1,9359.36,,11987.0,6146.0,7805.79,6146.0
112,2016-07-01 03:10:00,28,3,1300,6,2,19518.49,,10611.5,2896.5,8641.11,2896.5
113,2016-07-01 03:18:00,30,2,1680,7,1,32826.65,,7371.0,1871.5,7845.38,1871.5
114,2016-07-01 03:30:00,29,3,1500,8,1,20757.51,,15009.5,7159.5,8719.82,7159.5
115,2016-07-01 03:45:00,28,4,2100,6,2,23048.11,,20494.5,6930.0,14671.7,6930.0
116,2016-07-01 03:53:00,30,3,1680,7,1,17393.97,,12823.0,5511.0,14148.4,5511.0
117,2016-07-01 04:05:00,29,4,1750,8,1,22402.13,,13649.0,5375.0,7723.6,5375.0
118,2016-07-01 04:15:00,32,1,1400,4,3,65189.53,,17369.0,7378.5,35868.1,7378.5
119,2016-07-01 04:20:00,28,5,1200,6,2,8401.7,,13493.5,5610.0,7426.0,5610.0
120,2016-07-01 04:28:00,30,4,1000,7,1,20808.45,,26786.6,9331.29,12769.1,9331.29
121,2016-07-01 04:40:00,29,5,1500,8,1,23329.14,,22298.0,9093.5,21083.2,9093.5
122,2016-07-01 04:45:00,32,2,1400,4,3,22435.98,,21478.8,10092.8,22548.6,10092.8
123,2016-07-01 04:57:00,28,6,1400,6,2,16845.64,,22546.5,9845.0,19917.1,9845.0
124,2016-07-01 05:05:00,30,5,1000,7,1,27550.46,,10744.5,3791.0,9266.94,3791.0
125,2016-07-01 05:15:00,32,3,1600,4,3,34609.2,,41642.6,16684.7,35946.9,16684.7
126,2016-07-01 05:20:00,29,6,1000,8,1,12881.4,,20479.5,9882.0,13314.2,9882.0
127,2016-07-01 05:35:00,28,7,1200,6,2,32002.99,,24254.5,10196.5,21130.0,10196.5
128,2016-07-01 05:42:00,30,6,1680,7,1,16896.82,,15211.0,6142.5,11852.6,6142.5
129,2016-07-01 05:45:00,32,4,1000,4,3,28381.32,,32973.8,15112.9,30876.6,15112.9
130,2016-07-01 05:55:00,29,7,1000,8,1,27702.83,,31466.5,12476.0,25928.6,12476.0
131,2016-07-01 06:12:00,28,8,1200,6,2,28953.41,,30780.7,12951.5,23174.8,12951.5
132,2016-07-01 06:15:00,32,5,1200,4,3,34951.54,,31415.2,11731.3,32294.9,11731.3
133,2016-07-01 06:22:00,30,7,1350,7,1,10535.21,,14614.0,7130.0,15193.4,7130.0
134,2016-07-01 06:35:00,29,8,1280,8,1,20600.5,,25665.0,10823.0,17227.5,10823.0
135,2016-07-01 06:45:00,32,6,1600,4,3,35427.08,,38494.1,16871.8,42110.2,16871.8
136,2016-07-01 07:15:00,32,7,2200,4,3,36099.99,,47006.9,21349.3,52547.3,21349.3
137,2016-07-01 07:45:00,32,8,1400,4,3,32624.42,,56756.5,23039.7,57549.5,23039.7
138,2016-07-02 01:40:00,36,1,1200,6,2,199398.99,,47579.5,17293.0,75459.9,17293.0
139,2016-07-02 01:45:00,37,1,1200,5,1,11445.82,,11984.0,2176.0,6520.67,2176.0
140,2016-07-02 02:00:00,38,2,1900,7,1,103203.87,,68536.5,31616.5,35098.1,31616.5
141,2016-07-02 02:03:00,39,1,1100,5,1,875.16,,3762.5,1647.5,4140.2,1647.5
142,2016-07-02 02:07:00,40,1,1000,7,1,40961.06,,15088.5,3058.5,8681.58,3058.5
143,2016-07-02 02:15:00,36,2,2000,6,2,97725.68,,68589.5,32715.0,89739.3,32715.0
144,2016-07-02 02:19:00,37,2,1350,5,1,8207.43,,7906.5,2627.0,4168.96,2627.0
145,2016-07-02 02:23:00,41,1,1800,8,2,23765.23,,18458.5,7711.5,15766.9,7711.5
146,2016-07-02 02:27:00,42,1,1300,5,1,1634.83,,5367.5,2517.5,5057.87,2517.5
147,2016-07-02 02:31:00,43,1,1620,3,2,4071.98,,6414.5,2508.5,11392.6,2508.5
148,2016-07-02 02:35:00,38,3,1100,7,1,89081.94,,81648.0,35491.5,32539.1,35491.5
149,2016-07-02 02:38:00,39,2,1560,5,1,1049.81,,3565.5,1331.5,3142.11,1331.5
150,2016-07-02 02:42:00,40,2,1300,7,1,58897.6,,33562.5,15222.0,19465.0,15222.0
151,2016-07-02 02:46:00,44,1,1200,6,1,1702.52,,8628.5,2995.5,3644.6,2995.5
152,2016-07-02 02:50:00,36,3,1700,6,2,82263.0,,66487.5,32773.6,109313.0,32773.6
153,2016-07-02 02:54:00,37,3,1150,5,1,13302.39,,12587.5,3377.0,5543.43,3377.0
154,2016-07-02 02:58:00,41,2,1050,8,2,31490.89,,21994.0,7794.5,16559.8,7794.5
155,2016-07-02 03:02:00,42,2,1300,5,1,6345.75,,7892.5,3506.5,6828.71,3506.5
156,2016-07-02 03:04:00,45,1,1100,1,1,250.32,,3410.5,1466.5,1643.5,1466.5
157,2016-07-02 03:06:00,43,2,2000,3,2,2257.18,,3829.5,1538.5,10301.0,1538.5
158,2016-07-02 03:08:00,46,1,1600,4,1,508.09,,1103.5,203.5,1278.5,203.5
159,2016-07-02 03:10:00,38,4,2400,7,1,105322.26,,96905.0,26998.0,35973.8,26998.0
160,2016-07-02 03:15:00,39,3,1560,5,1,8207.03,,9078.0,2787.5,8346.19,2787.5
161,2016-07-02 03:20:00,40,3,1600,7,1,79859.33,,49047.5,22029.0,28287.8,22029.0
162,2016-07-02 03:24:00,44,2,1400,6,1,13763.26,,5801.0,1800.5,3119.04,1800.5
163,2016-07-02 03:28:00,36,4,1400,6,2,171917.67,,107317.0,51140.0,161402.0,51140.0
164,2016-07-02 03:32:00,37,4,2200,5,1,6219.77,,17239.5,4217.5,4446.09,4217.5
165,2016-07-02 03:37:00,41,3,2600,8,2,63110.39,,29272.5,8564.0,24345.0,8564.0
166,2016-07-02 03:39:00,45,2,1200,1,1,3833.79,,3237.5,1131.5,1370.0,1131.5
167,2016-07-02 03:41:00,42,3,1200,5,1,3468.35,,8850.5,4113.0,6951.7,4113.0
168,2016-07-02 03:43:00,46,2,1600,4,1,248.94,,1842.0,590.5,1928.5,590.5
169,2016-07-02 03:45:00,38,5,1800,7,1,42372.64,,93693.0,50648.5,37018.0,50648.5
170,2016-07-02 03:49:00,43,3,1000,3,2,13129.46,,9533.5,3565.0,23949.2,3565.0
171,2016-07-02 03:53:00,39,4,1200,5,1,6540.82,,8645.0,2776.0,6741.59,2776.0
172,2016-07-02 03:57:00,40,4,1200,7,1,71461.58,,40320.0,18184.5,26588.4,18184.5
173,2016-07-02 04:01:00,44,3,1000,6,1,17562.68,,11439.0,3711.0,9769.65,3711.0
174,2016-07-02 04:05:00,36,5,1200,6,2,146970.19,,120018.0,60403.0,172631.0,60403.0
175,2016-07-02 04:09:00,37,5,2200,5,1,7431.22,,17318.0,6870.5,9574.3,6870.5
176,2016-07-02 04:13:00,41,4,2044,8,2,28351.73,,32500.5,11149.0,22010.9,11149.0
177,2016-07-02 04:17:00,42,4,900,5,1,6743.56,,11235.5,4114.5,7214.34,4114.5
178,2016-07-02 04:19:00,45,3,1200,1,1,778.47,,3799.5,1475.5,1635.5,1475.5
179,2016-07-02 04:21:00,43,4,1000,3,2,1815.49,,7027.5,2642.0,18096.0,2642.0
180,2016-07-02 04:25:00,38,6,1500,7,1,110353.3,,130158.0,71516.0,40558.1,71516.0
181,2016-07-02 04:27:00,46,3,1300,4,1,834.28,,2033.0,657.0,2188.0,657.0
182,2016-07-02 04:29:00,39,5,1200,5,1,4123.42,,4013.5,1380.5,3675.85,1380.5
183,2016-07-02 04:33:00,19,1,1000,5,1,19524.04,,13598.0,2681.0,26596.6,2681.0
184,2016-07-02 04:37:00,40,5,1600,7,1,131818.69,,114620.0,48753.5,69611.2,48753.5
185,2016-07-02 04:41:00,44,4,1600,6,1,5110.55,,12716.0,3533.0,7530.05,3533.0
186,2016-07-02 04:45:00,36,6,1400,6,2,166620.89,,130598.0,66176.1,165551.0,66176.1
187,2016-07-02 04:47:00,47,1,1200,9,1,4116.6,,3284.5,836.5,5901.12,836.5
188,2016-07-02 04:49:00,37,6,1150,5,1,7426.07,,25050.5,11285.0,8650.91,11285.0
189,2016-07-02 04:53:00,41,5,1200,8,2,21044.21,,27533.0,11161.5,19178.5,11161.5
190,2016-07-02 04:55:00,45,4,1400,1,1,4925.93,,6757.0,2745.0,3519.0,2745.0
191,2016-07-02 04:57:00,42,5,1800,5,1,6822.27,,10934.5,4749.5,9076.62,4749.5
192,2016-07-02 05:01:00,43,5,1350,3,2,8080.51,,12415.0,4188.0,19840.1,4188.0
193,2016-07-02 05:03:00,46,4,1300,4,1,5360.45,,4489.5,1259.0,2502.0,1259.0
194,2016-07-02 05:05:00,38,7,1350,7,1,110658.43,,196151.0,87895.9,69008.8,87895.9
195,2016-07-02 05:09:00,39,6,1300,5,1,4046.48,,10202.0,3424.5,8030.55,3424.5
196,2016-07-02 05:13:00,19,2,1400,5,1,37980.67,,23609.5,7795.0,40040.1,7795.0
197,2016-07-02 05:17:00,40,6,1400,7,1,59073.25,,107852.0,50151.5,63218.4,50151.5
198,2016-07-02 05:21:00,44,5,1600,6,1,15954.83,,18060.5,5409.5,15213.1,5409.5
199,2016-07-02 05:25:00,36,7,1100,6,2,147028.83,,134181.0,55759.4,166669.0,55759.4
200,2016-07-02 05:27:00,47,2,1100,9,1,852.81,,2412.5,492.5,8078.83,492.5
201,2016-07-02 05:29:00,37,7,1200,5,1,3975.48,,16844.5,7726.5,4574.1,7726.5
202,2016-07-02 05:33:00,41,6,1600,8,2,110607.18,,43363.5,16922.5,40067.0,16922.5
203,2016-07-02 05:35:00,45,5,1100,1,1,4015.18,,7494.0,2606.5,4215.5,2606.5
204,2016-07-02 05:37:00,42,6,1300,5,1,12451.71,,13591.5,3940.5,10276.5,3940.5
205,2016-07-02 05:39:00,46,5,1200,4,1,403.78,,2495.5,802.0,1947.5,802.0
206,2016-07-02 05:41:00,43,6,1620,3,2,3539.68,,10699.5,4047.0,24389.5,4047.0
207,2016-07-02 05:45:00,38,8,1200,7,1,111325.95,,213788.0,91313.3,76790.2,91313.3
208,2016-07-02 05:49:00,39,7,1800,5,1,5568.37,,10548.0,3434.5,7135.67,3434.5
209,2016-07-02 05:53:00,19,3,1300,5,1,29672.18,,31171.5,9641.5,41768.3,9641.5
210,2016-07-02 05:57:00,40,7,2400,7,1,159917.85,,129052.0,51000.5,73559.9,51000.5
211,2016-07-02 06:01:00,44,6,1300,6,1,4474.21,,18199.5,6374.0,10885.7,6374.0
212,2016-07-02 06:05:00,36,8,2000,6,2,127235.35,,132740.0,61157.0,183052.0,61157.0
213,2016-07-02 06:07:00,47,3,1435,9,1,1151.5,,3053.5,733.0,11263.6,733.0
214,2016-07-02 06:09:00,37,8,1350,5,1,9701.17,,34992.5,12382.5,11983.0,12382.5
215,2016-07-02 06:13:00,41,7,1050,8,2,49916.37,,44871.0,18324.0,31915.6,18324.0
216,2016-07-02 06:15:00,45,6,1600,1,1,1727.72,,9605.5,2584.8,4200.5,2584.8
217,2016-07-02 06:17:00,42,7,1200,5,1,3954.1,,19108.5,6675.0,14272.0,6675.0
218,2016-07-02 06:19:00,46,6,1100,4,1,810.03,,2366.5,519.0,2661.0,519.0
219,2016-07-02 06:21:00,43,7,1200,3,2,11786.88,,12100.0,5304.0,24288.2,5304.0
220,2016-07-02 06:25:00,38,9,1500,7,1,100126.74,,198572.0,91165.5,71192.2,91165.5
221,2016-07-02 06:29:00,19,4,1600,5,1,30542.65,,18147.5,7607.5,47811.6,7607.5
222,2016-07-02 06:33:00,40,8,1300,7,1,41271.85,,91950.5,37200.0,42793.1,37200.0
223,2016-07-02 06:37:00,44,7,1000,6,1,2432.96,,13452.0,4225.5,6021.63,4225.5
224,2016-07-02 06:40:00,36,9,1200,6,2,134937.08,,170544.0,74902.5,216966.0,74902.5
225,2016-07-02 06:44:00,47,4,1200,9,1,803.07,,2858.0,672.5,9574.89,672.5
226,2016-07-02 06:45:00,39,8,1800,5,1,4241.08,,12059.0,4597.5,7395.44,4597.5
227,2016-07-02 06:51:00,41,8,1200,8,2,72451.79,,82030.0,29291.5,62523.4,29291.5
228,2016-07-02 06:55:00,46,7,1100,4,1,564.61,,8146.0,2607.0,7233.0,2607.0
229,2016-07-02 07:05:00,19,5,2000,5,1,38107.78,,51263.0,17731.0,79068.1,17731.0
230,2016-07-02 07:23:00,47,5,1300,9,1,14882.48,,19258.0,5429.5,27779.8,5429.5
231,2016-07-02 07:35:00,46,8,1600,4,1,6188.73,,18537.5,4848.0,16669.5,4848.0
232,2016-07-02 07:40:00,19,6,1200,5,1,44303.25,,35693.0,13014.0,60419.3,13014.0
233,2016-07-02 08:00:00,47,6,1600,9,1,6787.46,,12984.0,3710.5,22296.0,3710.5
234,2016-07-02 08:10:00,46,9,1600,4,1,7884.18,,17143.0,4412.5,13796.1,4412.5
235,2016-07-02 08:15:00,19,7,1300,5,1,27908.09,,33019.0,13295.0,71036.0,13295.0
236,2016-07-02 08:37:00,47,7,1600,9,1,2586.95,,11509.0,3676.0,24892.2,3676.0
237,2016-07-02 08:50:00,19,8,2100,5,1,36088.82,,42942.5,18618.0,85634.4,18618.0
238,2016-07-03 02:05:00,48,1,1120,3,1,4793.67,,6597.0,2279.5,6955.17,2279.5
239,2016-07-03 02:15:00,49,1,1050,7,1,21015.01,,7221.0,1704.5,6941.73,1704.5
240,2016-07-03 02:30:00,50,1,1100,3,1,11715.8,,5928.5,2171.0,5749.15,2171.0
241,2016-07-03 02:35:00,51,1,1200,8,1,18436.04,,13194.5,5844.0,26201.0,5844.0
242,2016-07-03 02:40:00,52,1,1208,8,1,6450.88,,9921.5,4154.0,6103.99,4154.0
243,2016-07-03 02:45:00,48,2,1420,3,1,9767.36,,5038.0,1465.5,5775.47,1465.5
244,2016-07-03 02:50:00,53,1,3480,8,3,27356.58,,6821.5,1220.5,11245.3,1220.5
245,2016-07-03 02:54:00,49,2,1050,7,1,5389.91,,6772.0,2168.5,7208.27,2168.5
246,2016-07-03 03:02:00,54,1,1500,8,1,5745.05,,10630.0,5691.5,6800.45,5691.5
247,2016-07-03 03:06:00,50,2,1300,3,1,4914.3,,5446.0,1989.0,5558.96,1989.0
248,2016-07-03 03:10:00,51,2,1200,8,1,19066.41,,12077.0,5056.5,30979.2,5056.5
249,2016-07-03 03:15:00,52,2,908,8,1,3170.13,,13423.0,4765.0,6759.98,4765.0
250,2016-07-03 03:20:00,48,3,1120,3,1,3896.47,,2911.5,1275.5,5125.17,1275.5
251,2016-07-03 03:30:00,53,2,3480,8,3,23417.2,,8847.5,2855.5,16742.3,2855.5
252,2016-07-03 03:34:00,49,3,1650,7,1,12861.33,,13275.5,4048.5,10430.0,4048.5
253,2016-07-03 03:42:00,54,2,2000,8,1,8594.0,,16346.0,7414.5,7951.56,7414.5
254,2016-07-03 03:46:00,50,3,1550,3,1,2157.28,,6076.0,2409.0,6670.24,2409.0
255,2016-07-03 03:50:00,51,3,2200,8,1,21027.74,,13205.5,5170.5,23718.0,5170.5
256,2016-07-03 03:54:00,52,3,1408,8,1,5046.96,,12155.5,5451.0,5710.89,5451.0
257,2016-07-03 03:58:00,48,4,1620,3,1,9028.72,,5782.0,1929.5,7327.39,1929.5
258,2016-07-03 04:02:00,49,4,1200,7,1,9110.42,,9825.0,3874.5,7135.97,3874.5
259,2016-07-03 04:06:00,55,1,1300,5,2,2681.43,,2984.5,1221.5,8146.83,1221.5
260,2016-07-03 04:10:00,53,3,1100,8,3,28117.28,,11130.5,1947.5,20053.6,1947.5
261,2016-07-03 04:18:00,54,3,1200,8,1,14448.21,,15414.5,7764.0,8149.59,7764.0
262,2016-07-03 04:22:00,50,4,1550,3,1,8105.7,,8220.5,3602.5,8441.95,3602.5
263,2016-07-03 04:30:00,51,4,1400,8,1,21557.41,,20237.5,9474.0,40405.1,9474.0
264,2016-07-03 04:34:00,52,4,1008,8,1,776.64,,11645.0,6345.0,7110.25,6345.0
265,2016-07-03 04:38:00,48,5,1420,3,1,11109.36,,4225.5,1469.5,5982.59,1469.5
266,2016-07-03 04:42:00,49,5,1000,7,1,4618.99,,8225.0,3985.5,8825.63,3985.5
